PassengerId,Pclass,Survived,Name,Sex,Age,Sibsp,Parch,Ticket,Fare,Embarked,Actual_Fare
1,1,1,"Allen, Miss. Elisabeth Walton",female,29.0,0,0,24160,211.3375,S,5360.436930555556
2,1,1,"Allison, Master. Hudson Trevor",male,0.9167,1,2,113781,151.55,S,3843.966247474748
3,1,0,"Allison, Miss. Helen Loraine",female,2.0,1,2,113781,151.55,S,3843.966247474748
4,1,0,"Allison, Mr. Hudson Joshua Creighton",male,30.0,1,2,113781,151.55,S,3843.966247474748
5,1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,1,2,113781,151.55,S,3843.966247474748
6,1,1,"Anderson, Mr. Harry",male,48.0,0,0,19952,26.55,S,673.4233181818181
7,1,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1,0,13502,77.9583,S,1977.3610947575753
8,1,0,"Andrews, Mr. Thomas Jr",male,39.0,0,0,112050,72.15,S,1830.0373787878789
9,1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53.0,2,0,11769,51.4792,S,1305.7361085252526
10,1,0,"Artagaveytia, Mr. Ramon",male,71.0,0,0,PC 17609,49.5042,C,1255.641530242424
11,1,0,"Astor, Col. John Jacob",male,47.0,1,0,PC 17757,227.525,C,5771.02223989899
12,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18.0,1,0,PC 17757,227.525,C,5771.02223989899
13,1,1,"Aubart, Mme. Leontine Pauline",female,24.0,0,0,PC 17477,69.3,C,1757.7489999999998
14,1,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,0,0,19877,78.85,S,1999.9784797979796
15,1,1,"Barkworth, Mr. Algernon Henry Wilson",male,80.0,0,0,27042,30.0,S,760.930303030303
17,1,0,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,C,6278.202578343435
18,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,0,1,PC 17558,247.5208,C,6278.202578343435
19,1,1,"Bazzani, Miss. Albina",female,32.0,0,0,11813,76.2917,C,1935.0888799898992
20,1,0,"Beattie, Mr. Thomson",male,36.0,0,0,13050,75.2417,C,1908.456319383838
21,1,1,"Beckwith, Mr. Richard Leonard",male,37.0,1,1,11751,52.5542,S,1333.0027777171717
22,1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47.0,1,1,11751,52.5542,S,1333.0027777171717
23,1,1,"Behr, Mr. Karl Howell",male,26.0,0,0,111369,30.0,C,760.930303030303
24,1,1,"Bidois, Miss. Rosalie",female,42.0,0,0,PC 17757,227.525,C,5771.02223989899
25,1,1,"Bird, Miss. Ellen",female,29.0,0,0,PC 17483,221.7792,S,5625.28379539394
26,1,0,"Birnbaum, Mr. Jakob",male,25.0,0,0,13905,26.0,C,659.4729292929293
27,1,1,"Bishop, Mr. Dickinson H",male,25.0,1,0,11967,91.0792,C,2310.1641085252522
28,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1,0,11967,91.0792,C,2310.1641085252522
29,1,1,"Bissette, Miss. Amelia",female,35.0,0,0,PC 17760,135.6333,S,3440.249602333333
